text,label,clean,token_count,sentence_count,tokens,sentences
زین تمہارا بھتیجا ہے۔,,زین تمہارا بھتیجا ہے۔,5,1,زین | تمہارا | بھتیجا | ہے | ۔,زین تمہارا بھتیجا ہے۔
کاش تم مجھ پر بھروسہ کرتے,,کاش تم مجھ پر بھروسہ کرتے,6,1,کاش | تم | مجھ | پر | بھروسہ | کرتے,کاش تم مجھ پر بھروسہ کرتے۔
کیا اس نے آپ کو چھوا؟,,کیا اس نے آپ کو چھوا؟,7,1,کیا | اس | نے | آپ | کو | چھوا | ؟,کیا اس نے آپ کو چھوا؟
اس کی زندگی کا حصہ,,اس کی زندگی کا حصہ,5,1,اس | کی | زندگی | کا | حصہ,اس کی زندگی کا حصہ۔
زین بدصورت نہیں ہے۔,,زین بدصورت نہیں ہے۔,5,1,زین | بدصورت | نہیں | ہے | ۔,زین بدصورت نہیں ہے۔
سب سے بڑھ کر صبر کرو,,سب سے بڑھ کر صبر کرو,6,1,سب | سے | بڑھ | کر | صبر | کرو,سب سے بڑھ کر صبر کرو۔
میں نے اسے اس سے سیکھا۔,,میں نے اسے اس سے سیکھا۔,7,1,میں | نے | اسے | اس | سے | سیکھا | ۔,میں نے اسے اس سے سیکھا۔
میں یہ کیوں کر رہا ہوں,,میں یہ کیوں کر رہا ہوں,6,1,میں | یہ | کیوں | کر | رہا | ہوں,میں یہ کیوں کر رہا ہوں۔
میں نے ایک برا فیصلہ کیا,,میں نے ایک برا فیصلہ کیا,6,1,میں | نے | ایک | برا | فیصلہ | کیا,میں نے ایک برا فیصلہ کیا۔
زین پرواہ نہیں کرے گا,,زین پرواہ نہیں کرے گا,5,1,زین | پرواہ | نہیں | کرے | گا,زین پرواہ نہیں کرے گا۔
زین ہچکچا رہا تھا,,زین ہچکچا رہا تھا,4,1,زین | ہچکچا | رہا | تھا,زین ہچکچا رہا تھا۔
میں نے زین گاڑی ادھار لی,,میں نے زین گاڑی ادھار لی,6,1,میں | نے | زین | گاڑی | ادھار | لی,میں نے زین گاڑی ادھار لی۔
تم یہاں کیوں باہر ہو,,تم یہاں کیوں باہر ہو,5,1,تم | یہاں | کیوں | باہر | ہو,تم یہاں کیوں باہر ہو۔
وہ صرف جھوٹا ہے۔,,وہ صرف جھوٹا ہے۔,5,1,وہ | صرف | جھوٹا | ہے | ۔,وہ صرف جھوٹا ہے۔
تقریباً ہو گیا,,تقریباً ہو گیا,3,1,تقریباً | ہو | گیا,تقریباً ہو گیا۔
کیا ہو رہا ہے آج کل,,کیا ہو رہا ہے آج کل,6,2,کیا | ہو | رہا | ہے | آج | کل,کیا ہو رہا ہے۔ || آج کل۔
زین نے ہمیں دھوکہ دیا۔,,زین نے ہمیں دھوکہ دیا۔,6,1,زین | نے | ہمیں | دھوکہ | دیا | ۔,زین نے ہمیں دھوکہ دیا۔
زین بیوقوف,,زین بیوقوف,2,1,زین | بیوقوف,زین بیوقوف۔
سب ٹھیک ہے,,سب ٹھیک ہے,3,1,سب | ٹھیک | ہے,سب ٹھیک ہے۔
کیا یہ یہاں کے لیے ہے؟,,کیا یہ یہاں کے لیے ہے؟,7,1,کیا | یہ | یہاں | کے | لیے | ہے | ؟,کیا یہ یہاں کے لیے ہے؟
